run_id,portfolio_id,portfolio_name,question_id,question_category,status_code,overall_score,issues,warnings_count
cache_tech_core__q001,cache_tech_core,Cache Tech Core,q001,general_health,200,4.66,warnings_present,1
cache_tech_core__q003,cache_tech_core,Cache Tech Core,q003,general_health,200,4.66,warnings_present,1
cache_tech_core__q005,cache_tech_core,Cache Tech Core,q005,general_health,200,4.66,warnings_present,1
cache_tech_core__q007,cache_tech_core,Cache Tech Core,q007,general_health,200,4.14,planner_mismatch;warnings_present,1
cache_tech_core__q009,cache_tech_core,Cache Tech Core,q009,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q011,cache_tech_core,Cache Tech Core,q011,concentration_diversification,200,4.76,warnings_present,1
cache_tech_core__q013,cache_tech_core,Cache Tech Core,q013,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q015,cache_tech_core,Cache Tech Core,q015,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q017,cache_tech_core,Cache Tech Core,q017,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q019,cache_tech_core,Cache Tech Core,q019,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q021,cache_tech_core,Cache Tech Core,q021,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q023,cache_tech_core,Cache Tech Core,q023,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q025,cache_tech_core,Cache Tech Core,q025,performance_drivers,200,4.66,warnings_present,1
cache_tech_core__q051,cache_tech_core,Cache Tech Core,q051,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q053,cache_tech_core,Cache Tech Core,q053,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q055,cache_tech_core,Cache Tech Core,q055,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q057,cache_tech_core,Cache Tech Core,q057,risk_adjusted_returns,200,4.76,warnings_present,1
cache_tech_core__q059,cache_tech_core,Cache Tech Core,q059,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q061,cache_tech_core,Cache Tech Core,q061,sector_diversification,200,4.66,missing_candidate_search;warnings_present,1
