run_id,portfolio_id,portfolio_name,question_id,question_category,status_code,overall_score,issues,warnings_count
cache_all_weatherish__q001,cache_all_weatherish,Cache All-Weather-ish,q001,general_health,200,4.66,warnings_present,1
cache_balanced__q002,cache_balanced,Cache Balanced,q002,general_health,200,4.66,warnings_present,1
cache_barbell__q003,cache_barbell,Cache Barbell,q003,general_health,200,4.66,warnings_present,1
cache_big_tech_plus__q004,cache_big_tech_plus,Cache Big Tech Plus,q004,general_health,200,4.66,warnings_present,1
cache_defensive_growth__q005,cache_defensive_growth,Cache Defensive Growth,q005,general_health,200,4.66,warnings_present,1
cache_drawdown_test__q006,cache_drawdown_test,Cache Drawdown Test,q006,general_health,200,4.66,warnings_present,1
cache_energy_finance__q007,cache_energy_finance,Cache Energy + Finance,q007,general_health,200,4.66,warnings_present,1
cache_energy_hedge__q008,cache_energy_hedge,Cache Energy Hedge,q008,general_health,200,4.66,warnings_present,1
cache_five_name__q009,cache_five_name,Cache Five Name,q009,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_growth_barbell__q010,cache_growth_barbell,Cache Growth Barbell,q010,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_health_focus__q011,cache_health_focus,Cache Healthcare Focus,q011,concentration_diversification,200,4.76,warnings_present,1
cache_health_quality__q012,cache_health_quality,Cache Health Quality,q012,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_high_beta__q013,cache_high_beta,Cache High Beta,q013,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_macro_mix__q014,cache_macro_mix,Cache Macro Mix,q014,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_momentum__q015,cache_momentum,Cache Momentum,q015,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_platforms__q016,cache_platforms,Cache Platforms,q016,concentration_diversification,200,4.76,warnings_present,1
cache_quality__q017,cache_quality,Cache Quality Blend,q017,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_rates_sensitive__q018,cache_rates_sensitive,Cache Rates Sensitive,q018,concentration_diversification,200,4.66,missing_candidate_search;warnings_present,1
cache_tech_core__q019,cache_tech_core,Cache Tech Core,q019,performance_drivers,200,4.66,warnings_present,1
cache_ten_name__q020,cache_ten_name,Cache Ten Name,q020,performance_drivers,200,4.66,warnings_present,1
cache_all_weatherish__q021,cache_all_weatherish,Cache All-Weather-ish,q021,performance_drivers,200,4.66,warnings_present,1
cache_balanced__q022,cache_balanced,Cache Balanced,q022,performance_drivers,200,4.66,warnings_present,1
cache_barbell__q023,cache_barbell,Cache Barbell,q023,performance_drivers,200,4.66,warnings_present,1
cache_big_tech_plus__q024,cache_big_tech_plus,Cache Big Tech Plus,q024,performance_drivers,200,4.66,warnings_present,1
cache_defensive_growth__q025,cache_defensive_growth,Cache Defensive Growth,q025,performance_drivers,200,4.66,warnings_present,1
cache_drawdown_test__q026,cache_drawdown_test,Cache Drawdown Test,q026,performance_drivers,200,4.66,warnings_present,1
cache_energy_finance__q027,cache_energy_finance,Cache Energy + Finance,q027,rates_macro,200,4.71,warnings_present,1
cache_energy_hedge__q028,cache_energy_hedge,Cache Energy Hedge,q028,rates_macro,200,4.71,warnings_present,1
cache_five_name__q029,cache_five_name,Cache Five Name,q029,rates_macro,200,4.71,warnings_present,1
cache_growth_barbell__q030,cache_growth_barbell,Cache Growth Barbell,q030,rates_macro,200,4.71,warnings_present,1
cache_health_focus__q031,cache_health_focus,Cache Healthcare Focus,q031,rates_macro,200,4.71,warnings_present,1
